Category,Name,NameDE,NumberCode,Variation,Thickness,Width,Height,LoadBearing,StiffeningFunction,Prefabrication,Placement,Water,Heating,Ventilation,Electricity,FireRequirementsDE,FireRating,AcoustingRating,Finishing,ThermalTransmittance,Version,ImageURL,Reasoning
SLAB,Floor 3D module roof,Boden 3D Modul Dach,SLA_36,,440,1000,1000,TRUE,TRUE,3D Mod,EXTERNAL,TRUE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,,2405,https://www.dropbox.com/scl/fi/bzyfr4u2ymapryycjvr3i/SLA_36.png?rlkey=tbwl76bsurgi38to26lerdhfg&st=md4jeu5x&dl=1,
SLAB,Floor 2D area roof 120CLT,Boden 2D-Bereich Dach 120BSP,SLA_37,,480,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,,2405,https://www.dropbox.com/scl/fi/as0dmu32zctp4ihsjy1wj/SLA_37.png?rlkey=60szo9xw3rnoennt27ygnt5ny&st=okxre323&dl=1,
SLAB,Floor 2D area roof 220CLT,Boden 2D-Bereich Dach 220BSP,SLA_38,,560,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,,2405,https://www.dropbox.com/scl/fi/20st7p5mq9nahu1lz4vws/SLA_38.png?rlkey=p5fgmjdy42zxtdy38zfwnnbfc&st=7zv5nmf4&dl=1,
SLAB,Floor 2D area roof 240CLT,Boden 2D-Bereich Dach 240BSP,SLA_39,,600,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,,2405,https://www.dropbox.com/scl/fi/2z7fziw4nkwatmzox72kb/SLA_39.png?rlkey=dkpdb95et6imfzyu305ydqg2i&st=rojc76pg&dl=1,
SLAB,Floor 2D area standard storey 140CLT,Boden 2D-Bereich Regelgeschoss 140BSP,SLA_40,,304,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2706,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,electric and heating installation not integrated in the slab
COLUMN,Facade column building long side,260X260 GL30h,COL_21,,260,260,3000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
COLUMN,3D module corner column,260x320 GL30h,COL_22,,260,320,3000,TRUE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
COLUMN,Facade column building short side,260x360 GL30h,COL_23,,260,360,3000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
COLUMN,3D module central column,280x560 GL30h,COL_24,,280,560,3000,TRUE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
BEAM,Facade Beam,260x220 GL28c,BEA_21,,260,3000,220,TRUE,TRUE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
BEAM,3D Module Beam GL28c,260x320 GL28c,BEA_22,,260,3000,320,TRUE,TRUE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
BEAM,3D Module Beam GL75,260x320 Baubuche GL75,BEA_23,,260,3000,320,TRUE,TRUE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,/,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
3DMOD,Implenia Module ,Implenia Modul,3DMOD 01,,7200,3200,3000,TRUE,TRUE,3D Mod,INTERNAL,TRUE,TRUE,TRUE,TRUE,GK V,n/a,n/a,n/a,n/a,n/a,https://www.dropbox.com/scl/fi/l7tjzcvv621ugoo51psl7/3DMOD_01.png?rlkey=t2psi100u58tpn64sq2kswckt&st=0nzyv3fx&dl=1,
3DMOD,Bathroom Pod,Klo Pod,BPOD 01,,2888,2178,2551,FALSE,FALSE,3D Mod,INTERNAL,TRUE,TRUE,TRUE,TRUE,GK V,n/a,n/a,n/a,n/a,n/a,https://www.dropbox.com/scl/fi/q25g4isawq1lw6pk29s4a/BATHPOD_01.png?rlkey=yillupzoa1v6h09vrlr852q5t&st=b09lk8zb&dl=1,
